"N1UAN-9","n1uan.org","7300","DX Spider"
"N2KI","dxc.n2ki.com","7300","DX Spider"
"N2QT","n2qt.no-ip.com","23","AR-Cluster"
"N2UGA-9","n2uga.org","7300","DX Spider"
"N3KDA","n3kda.ham-radio-op.net","23","AR-Cluster"
"N3ME","dxc.n3me.net","23","AR-Cluster"
"N3MEQ-2","n3meq.dynip.com","8000","DX Spider"
"N3UA","dxc.n3ua.com","23","AR-Cluster"
"N4SER","n4ser.dyndns.org","23","WinCluster"
"N4VFF-2","dx.harwood.com","8000","DX Spider"
"N4ZKF","dxc.n4zkf.com","23","AR-Cluster"
"N4ZKF-1","dxc.n4zkf.com","7373","CC Cluster"
"N5IN","dxspots.com","23","AR-Cluster"
"N5IN-2","dxspots.net","23","CC Cluster"
"N6VR","n6vr.dyndns.org","7300","DX Spider"
"N6WS-6","n6ws.dyndns.org","7300","DX Spider"
"N7AZ","n7az.net","23","AR-Cluster"
"N7OD","n7od.pentux.net","23","AR-Cluster"
"N7TR","dxc.n7tr.com","23","AR-Cluster"
"N7XG-7","n7xg.no-ip.org","7300","CC Cluster"
"N7XY","n7xy.net","7300","DX Spider"
"N8NM","n8nm.servebeer.com","23","DX Spider"
"N8YIB-10","n8yib.dyndns.org","23","AR-Cluster"
"N9BMS","206.40.107.209","23","AR-Cluster"
"N9JR-2","dx.n9jr.com","7300","DX Spider"
"N9KT-2","n9kt.dyndns.org","8000","DX Spider"
"N9MW","www.n9mw.com","23","AR-Cluster"
"NC7J","dxc.nc7j.com","23","AR-Cluster"
"NC7J-1","wwdxc.nc7j.com","23","AR-Cluster"
"NE3H","dxc.ne3h.net","23","AR-Cluster"
"NE9DX","ne9dx.com","7300","DX Spider"
"NG2P","ng2p.ham-radio-op.net","7300","DX Spider"
"NN1D","nn1d.ath.cx","7300","DX Spider"
"NP3N","radio-linux.isti.cnr.it","23","DX Spider"
"NP3N","dxc.np3n.com","7300","DX Spider"
"OE9XPR-9","oe9xpr.ampr.org","8000","DX Spider"
"OH1RCF","oh1ab.dy.fi","8000","DX Spider"
"OH2J-7","ham.connect.fi","7300","DX Spider"
"OH5RBI","oh5rbi-cl.oh5ai.fi","8000","DX Spider"
"OK0DXH","ok0dxh.goo.cz","8000","DX Spider"
"OK0DXI","ok0dxi.nagano.cz","41112","DX Spider"
"OK0DXP","radio-linux.isti.cnr.it","23","AK1A"
"OK0DXU","ok0ntu.ampr.cz","7373","DxNet"
"ON0AN","on0an.dyndns.org","8000","DX Spider"
"ON0DXC","on0dxc.dyndns.org","8000","DX Spider"
"ON0DXK-5","on0dxk.dyndns.org","8000","DX Spider"
"ON0LG","on0lg.dyndns.info","7373","DX Spider"
"ON0NOL-9","nolcluster.dyndns.org","9000","DX Spider"
"OZ2DXC","80.198.77.12","8000","DX Spider"
"OZ5BBS-7","194.192.135.177","8000","DX Spider"
"OZ7DXC","85.81.56.97","9000","DxNet"
"P43L-8","dxc.p43l.com","7300","DX Spider"
"PA1RBZ","pa1rbz.dyndns.org","9000","DX Spider"
"PA2DX-7","dxc.pa2dx.nl","9000","DX Spider"
"PA4AB-14","ea1.pa4ab.net","8000","DX Spider"
"PA4JJ-1","pa4jj.ham-radio-op.net","7300","DX Spider"
"PA4JJ-2","pa4jj.no-ip.org","8000","AR-Cluster"
"PA5KT-15","www.remijn.net","7530","DX Spider"
"PA6NL-1","dxc.pa6.nl","23","DX Spider"
"PE1ITR-8","dxc.pe1itr.com","7300","DX Spider"
"PI4CC","dxc.pi4cc.nl","8000","DX Spider"
"PI5EHV-8","claudia.esrac.ele.tue.nl","8000","DX Spider"
"PI8CDR-7","www.pi8cdr.homelinux.org","7000","DX Spider"
"PI8DAZ-7","radio-linux.isti.cnr.it","23","DxNet"
"PI8DXC","pi8dxc.dynanic.com","41112","DX Spider"
"PI8DXF-7","80.113.178.138","23","DX Spider"
"PI8DXG","radio-linux.isti.cnr.it","23","DX Spider"
"PI8RWD-7","radio-linux.isti.cnr.it","23","DX Spider"
"PY2XB-6","dxc.integral.com.br","7300","DX Spider"
"PY3NZ-8","dxc.baependi.com.br","8000","DX Spider"
"PY5JO-11","py5jo.no-ip.org","8000","DX Spider"
"PY5UFP-11","dxc.amprnet.org.br","9000","CLX"
"RA3AWW","213.141.144.54","23","AR-Cluster"
"RK2FWB","212.44.71.130","8000","DX Spider"
"RN6BN","rn6bn.73.ru","23","AR-Cluster"
"RU9CZZ","ampr.pssr.ru","41112","CLX"
"RV0AEV-1","dxc.andys.ru","41112","CLX"
"RW3XA-8","dx.obninsk.org","8000","DX Spider"
"RX4HW","81.200.209.35","23","AR-Cluster"
"S50CLX","s50clx.infrax.si","41112","DX Spider"
"S50DXS","s50dxs.ods.org","8000","DX Spider"
"SK0BU-5","thr-1.math.kth.se","8000","DX Spider"
"SK2AU-6","sk2au.mine.nu","23","DX Spider"
"SK3GW-6","sk3gw.shacknet.nu","8000","DX Spider"
"SK3W-6","sk3w.se","8000","DX Spider"
"SK4BX-7","cluster.sk4bx.se","8000","DX Spider"
"SK6LK-6","packet.sk6lk.se","7300","DX Spider"
"SK7AX-6","sm7ndx.dyndns.org","8000","DxNet"
"SL2ZA-6","170228.umestan.com","7300","DX Spider"
"SM0RUX-6","ax25.org","8000","DX Spider"
"SM4ONW-14","cluster.sk4bw.net","8000","DX Spider"
"SM5XGP-6","sm5xgp.dyndns.org","7300","DX Spider"
"SM6HOC-4","sm6hoc2.dyndns.org","7300","DX Spider"
"SM6HOC-6","sm6hoc.dyndns.org","7300","DX Spider"
"SM6YOU-2","sector7.nu","8000","DX Spider"
"SM7GVF-6","sm7gvf.dyndns.org","8000","DX Spider"
"SR1DXZ","www.sr1bsz.ampr.org","9000","DxNet"
"SR2BOX-12","ampr.bsb.com.pl","9000","DxNet"
"SR4DXC-1","www.ampr.jestok.com","7300","DX Spider"
"SR6BDX","212.160.178.100","9000","DxNet"
"SR9DDF-12","157.158.185.199","9000","DxNet"
"SR9ZAA-12","195.150.236.250","9000","DxNet"
"SV1CMG-4","sv1cmg.dyndns.org","8000","DX Spider"
"SV1CPO-8","agrinio.ampr.org","9000","DX Spider"
"SV1DAY-5","sv1day.homeip.net","23","DX Spider"
"SV2BZQ-2","sv2bzq.dyndns.org","8000","DX Spider"
"SV2DWG-8","62.38.223.163","7300","DX Spider"
"SV4FFB","sv4ffb.no-ip.org","7300","AR-Cluster"
"SZ1SV","sz1sv.redirectme.net","23","AR-Cluster"
"SZ2TSL-2","sz2tsl.dyndns.org","8000","DX Spider"
"TR0A-3","tr8ca.no-ip.org","9000","DxNet"
"UA4CC","remo3.renet.ru","8000","DX Spider"
"UA4FBG","dx.penzanet.ru","8000","DX Spider"
"US5WE","fairs.org.ua","41112","DX Spider"
"US5WE-5","fairs.org.ua","9000","CLX"
"US7IQZ-1","dxc.tvcom.net.ua","7300","DX Spider"
"UU1DX-1","uu1dx.com","23","DX Spider"
"VA3MW-7","va3mw.dxcluster.org","41112","DX Spider"
"VE1CFB","sparc.no-ip.info","7300","DX Spider"
"VE1DXI","ve1dxi.no-ip.com","23","CC Cluster"
"VE2FDA-3","ve2fda.no-ip.org","9000","DxNet"
"VE2PKT-9","ve2pkt.dyndns.org","9000","DX Spider"
"VE3CGR-5","ve3cgr.dyndns.org","7300","DX Spider"
"VE3EY-7","dx.fireroute.com","23","DX Spider"
"VE5BT-7","ve5bt.no-ip.ca","41112","CLX"
"VE6DXC","dxc.middlebrook.ca","8000","DX Spider"
"VE6DXD","ve6dxd.tzo.com","23","AR-Cluster"
"VE6TN-7","dxc.middlebrook.ca","23","CLX"
"VE7CC-1","ve7cc.net","23","CC Cluster"
"VE9EMO-9","ve9emo.gnb.ca","23","DX Spider"
"VK3APC-4","vk3apc.mdrc.org.au","41112","CLX"
"VK3AVE-4","cluster.vk3ave.net","7300","DX Spider"
"VK3HEG-5","radio.vk3heg.net","7300","DX Spider"
"VK4TRS-7","vk4trs.ath.cx","8000","DX Spider"
"VK7HDM-2","ddmcomputers.com","7300","DX Spider"
"VK8NSB-7","vk8nsb.shacknet.nu","7300","DX Spider"
"W0MU-1","w0mu.net","23","CC Cluster"
"W0MW","w0mw.dynip.com","23","AR-Cluster"
"W1DX","dxusa.net","7300","DX Spider"
"W1GQ","dx.w1gq.net","23","AR-Cluster"
"W1NGL-3","w1ngl.no-ip.org","9000","DX Spider"
"W1NR","dxc.w1nr.net","23","DX Spider"
"W1VE","dxc.w1ve.com","23","AR-Cluster"
"W2GSB","24.185.123.70","23","AR-Cluster"
"W2PS","w2ps.tzo.com","23","DX Spider"
"W3LPL","dxc.w3lpl.net","23","AR-Cluster"
"W3TUA","w3tua.no-ip.org","23","AR-Cluster"
"W4LEE","204.29.106.100","23","AR-Cluster"
"W4ML","dxc.w4ml.net","23","AR-Cluster"
"W4MR","w4mr.tzo.com","23","AR-Cluster"
"W4NJA-1","207.162.164.157","23","CC Cluster"
"W4QB","nadxc.no-ip.org","7300","DX Spider"
"W4TO","w4to.no-ip.org","23","AR-Cluster"
"W4UAT","w4uat.no-ip.com","23","AR-Cluster"
"W6KK","w6kk.zapto.org","7300","DX Spider"
"W6RFU","ucsbdx.ece.ucsb.edu","7300","DX Spider"
"W6RK-2","ch.w6rk.com","7300","DX Spider"
"W6TK-6","w6tk.ham-radio-op.net","8000","DX Spider"
"W7DX","w7dx.net","23","AR-Cluster"
"W7JD-2","k7ek.dyndns.org","7373","CC Cluster"
"W7PKT","w7pkt.net","7300","DX Spider"
"W8ALC","w8alc.ohiopacket.org","23","AR-Cluster"
"W8BS","w8bs.dyndns.org","8000","AR-Cluster"
"W8FT","w8ft.no-ip.com","23","AR-Cluster"
"W9AZ","69.212.234.48","23","AR-Cluster"
"W9BG","w9bg.com","23","AR-Cluster"
"W9NIU","131.156.2.135","41112","CLX"
"W9ODD","w9odd.bien.mu.edu","23","AR-Cluster"
"W9YB","w9yb-dx.student-orgs.purdue.edu","23","AR-Cluster"
"W9YT","w9yt-4.engr.wisc.edu","23","AR-Cluster"
"W9ZRX","dxc.w9zrx.net","23","AR-Cluster"
"WA0ROI","wa0roi.no-ip.com","23","AR-Cluster"
"WA2UMX","rich.iplocate.net","7300","DX Spider"
"WA4ET","dxc.w4dfu.ufl.edu","23","AR-Cluster"
"WA8DX","wa8dx.servebeer.com","7300","DX Spider"
"WB0YRQ-7","scotty.acsnet.com","7300","DX Spider"
"WB2ONA","dx.n1uro.com","9001","DX Spider"
"WB6JAR","wb6jar.no-ip.org","23","AR-Cluster"
"WB9CIF","wb9cif.no-ip.com","23","AR-Cluster"
"WC2L","dxc.wc2l.com","23","AR-Cluster"
"WC4J","dxc.wc4j.net","23","AR-Cluster"
"WD1L","dxc.wd1l.net","7300","DX Spider"
"WD4IXD","dxc.wd4ixd.net","23","AR-Cluster"
"WE9R","we9r.no-ip.org","23","AR-Cluster"
"WF5E","wf5e.no-ip.com","23","AR-Cluster"
"WG9L","wg9l.no-ip.com","23","AR-Cluster"
"WJ3G-3","wj3g.no-ip.org","7300","DX Spider"
"WM3T","dxc.wm3t.com","7300","DX Spider"
"WN9O","dxc.wn9o.net","23","AR-Cluster"
"WR3D","wr3d.dxcluster.net","7300","DX Spider"
"WR3L","dxc.wr3l.net","23","AR-Cluster"
"WT6G","wt6g.us","7300","AR-Cluster"
"WT8C","w8gn.no-ip.com","23","AR-Cluster"
"WW1R-9","dxc.ww1r.com","7300","DX Spider"
"XE2AU","xe2au.org","23","AR-Cluster"
"YL7DXC","dxc.ardi.lv","8000","DX Spider"
"YO5KAV","82.77.126.79","8000","DX Spider"
"YO5OAG-5","yo5oag.ro","8000","DX Spider"
"YU0DXK","dx.kg.ac.yu","8000","DX Spider"
"YU1EXY-7","www.yu1exy.org","8000","DX Spider"
"YV5AJ","yv5aj.org","7000","DX Spider"
"YV5KXE","yv5kxe.org","7300","DX Spider"
"YV6BTF-7","yv6btf.no-ip.org","8000","AR-Cluster"
"ZL2AQY-10","olson.net.nz","9000","DX Spider"
"ZL2ARN-10","zl2arn.ath.cx","7300","DX Spider"
"ZS6RO-1","www.zs6ro.co.za","8050","DX Spider"
"SKIMMER","localhost","7300","CW Skimmer"
